SEQ,INT_ID,LAT,LNG,INT_NAME
1,8204,1.541509,110.371257,Jalan Foochow No.1 / Tun Razak Junction (Kuching By-Pass)
2,8238,1.52055,110.334121,Jalan Batu Kawa / Sunny Hill
3,8251,1.509839,110.301923,Jalan Batu Kawa / Taman Desa Wira
4,8255,1.52134,110.354219,Jalan Song / Laksamana Cheng Ho / Tun Razak / Tun Jugah Junction
5,8263,1.507804,110.292645,Jalan Batu Kawa / Jalan Stephen Yong
6,8280,1.556044,110.382255,Jalan Datuk Marican Salleh / Jalan Utama / Jalan Kwong Lee Bank / TunSalahuddin Bridge
7,8285,1.514472,110.316484,Jalan Batu Kawa / Jalan Sungai Maong Utama
8,8295,1.489442,110.342426,Jalan Lapangan Terbang Antarabangsa Kuching (1) (Airport Entrance)
9,8296,1.488612,110.338918,Jalan Lapangan Terbang Antarabangsa Kuching (2) (Airport Exit)
10,9203,1.493484,110.348722,Jalan Lapangan Terbang Antarabangsa Kuching / Jalan Stutong Baru (3)
11,9212,1.487547,110.338162,Jalan Lapangan Terbang Antarabangsa Kuching (4) (VVIP Junction)
12,9234,1.479311,110.334324,Jalan Kuching Ranger Depot / Lorong Liu Shan Bang 3b
13,9235,1.527858,110.367846,Jalan Wan Alwi / Lorong Wan Alwi 5
14,9262,1.522841,110.344664,Jalan Laksamana Cheng Ho / Jalan Stampin
15,9266,1.467085,110.330398,Jalan Liu Shan Bang / Jalan Stakan
16,9273,1.480078,110.290359,Jalan Stephen Yong / Kampung Semaba
17,8202,1.542241,110.363037,Jalan Chawan / Jalan Chawan Lorong No.1 / Jalan Chong Kiun Kong
18,8217,1.552249,110.365905,Jalan Padungan / Jalan Abdul Rahim
19,8227,1.543057,110.36995,Jalan Foochow No.1 / Jalan Three Hill Park
20,8228,1.523971,110.378342,Jalan Kedandi / Jalan Wan Alwi
21,8237,1.545183,110.361739,Jalan Mendu / Jalan Ellis / Jalan Sekama / Jalan Chawan
22,8259,1.542193,110.355153,Jalan Mendu / Jalan Simpang Tiga / Jalan Tabuan / Jalan Batu Lintang
23,8265,1.523626,110.341855,Jalan Rock / Jalan Laksamana Cheng Ho / Jalan Permata
24,8270,1.517743,110.363186,Jalan Song / Lorong Song 3
25,8271,1.516342,110.367009,Jalan Song / Jalan Urat Mata (Near Taman Sahabat)
26,8279,1.526159,110.373784,Jalan Wan Alwi / Jalan Bayor Bukit / Jalan Urat Mata
27,8284,1.55018,110.380115,Jalan Kwong Lee Bank / Jalan Pending
28,9211,1.548889,110.368177,Jalan Padungan / Jalan Pending / Jalan Sekama
29,8203,1.535947,110.340853,Jalan Batu Lintang / Jalan Tun Abang Haji Openg
30,8207,1.549243,110.331464,Jalan Nanas / Jalan Green
31,8208,1.551251,110.330834,Jalan Rubber / Jalan Green
32,8213,1.553241,110.33024,Jalan Muhibbah / Jalan Satok / Jalan Green
33,8226,1.546076,110.332094,Jalan Pisang / Jalan Green
34,8249,1.540794,110.334379,Jalan Emerald / Jalan Green
35,8250,1.542395,110.332985,Jalan Sungai Maong Tengah / Jalan Green
36,8256,1.538072,110.337185,Jalan Tun Ahmad Zaidi Adruce / Jalan Green
37,9256,1.529139,110.336738,Jalan Tun Ahmad Zaidi Adruce
38,9267,1.585383,110.412503,Jalan Keruing / Jalan Demak Laut 1 / Jalan Demak Laut 2
39,8264,1.471218,110.330479,"7th Mile, near Sam Hap Hin Primary School, Kota Sentosa"
40,9230,1.531361,110.319533,Jalan Datuk Temenggong Tan Men Chong / Jalan Sungai Maong Utama (March Only)
41,9258,1.522278,110.314024,Jalan Sungai Maong Utama / Jalan Engsing
42,8293,1.464935,110.418699,Jalan Kuching Kota Samarahan Expressway / Jalan Tualang (UNIMAS)
