DEMO Traffic Flow Sunday 01 March 2020
Time	TcsNo	Approach	Volume
01/03/2020 00:05	8207	Approach  1 (det:  1-8)	32
01/03/2020 00:10	8207	Approach  1 (det:  1-8)	24
01/03/2020 00:15	8207	Approach  1 (det:  1-8)	29
01/03/2020 00:20	8207	Approach  1 (det:  1-8)	28
01/03/2020 00:25	8207	Approach  1 (det:  1-8)	27
01/03/2020 00:30	8207	Approach  1 (det:  1-8)	26
01/03/2020 00:35	8207	Approach  1 (det:  1-8)	31
01/03/2020 00:40	8207	Approach  1 (det:  1-8)	31
01/03/2020 00:45	8207	Approach  1 (det:  1-8)	34
01/03/2020 00:50	8207	Approach  1 (det:  1-8)	22
01/03/2020 00:55	8207	Approach  1 (det:  1-8)	28
01/03/2020 01:00	8207	Approach  1 (det:  1-8)	25
01/03/2020 01:05	8207	Approach  1 (det:  1-8)	15
01/03/2020 01:10	8207	Approach  1 (det:  1-8)	16
01/03/2020 01:15	8207	Approach  1 (det:  1-8)	21
01/03/2020 01:20	8207	Approach  1 (det:  1-8)	21
01/03/2020 01:25	8207	Approach  1 (det:  1-8)	13
01/03/2020 01:30	8207	Approach  1 (det:  1-8)	15
01/03/2020 01:35	8207	Approach  1 (det:  1-8)	20
01/03/2020 01:40	8207	Approach  1 (det:  1-8)	17
01/03/2020 01:45	8207	Approach  1 (det:  1-8)	10
01/03/2020 01:50	8207	Approach  1 (det:  1-8)	20
01/03/2020 01:55	8207	Approach  1 (det:  1-8)	17
01/03/2020 02:00	8207	Approach  1 (det:  1-8)	12
01/03/2020 02:05	8207	Approach  1 (det:  1-8)	18
01/03/2020 02:10	8207	Approach  1 (det:  1-8)	12
01/03/2020 02:15	8207	Approach  1 (det:  1-8)	17
01/03/2020 02:20	8207	Approach  1 (det:  1-8)	7
01/03/2020 02:25	8207	Approach  1 (det:  1-8)	13
01/03/2020 02:30	8207	Approach  1 (det:  1-8)	16
01/03/2020 02:35	8207	Approach  1 (det:  1-8)	7
01/03/2020 02:40	8207	Approach  1 (det:  1-8)	4
01/03/2020 02:45	8207	Approach  1 (det:  1-8)	15
01/03/2020 02:50	8207	Approach  1 (det:  1-8)	14
01/03/2020 02:55	8207	Approach  1 (det:  1-8)	11
01/03/2020 03:00	8207	Approach  1 (det:  1-8)	12
01/03/2020 03:05	8207	Approach  1 (det:  1-8)	14
01/03/2020 03:10	8207	Approach  1 (det:  1-8)	19
01/03/2020 03:15	8207	Approach  1 (det:  1-8)	10
01/03/2020 03:20	8207	Approach  1 (det:  1-8)	11
01/03/2020 03:25	8207	Approach  1 (det:  1-8)	20
01/03/2020 03:30	8207	Approach  1 (det:  1-8)	20
01/03/2020 03:35	8207	Approach  1 (det:  1-8)	14
01/03/2020 03:40	8207	Approach  1 (det:  1-8)	11
01/03/2020 03:45	8207	Approach  1 (det:  1-8)	13
01/03/2020 03:50	8207	Approach  1 (det:  1-8)	8
01/03/2020 03:55	8207	Approach  1 (det:  1-8)	12
01/03/2020 04:00	8207	Approach  1 (det:  1-8)	17
01/03/2020 04:05	8207	Approach  1 (det:  1-8)	11
01/03/2020 04:10	8207	Approach  1 (det:  1-8)	14
01/03/2020 04:15	8207	Approach  1 (det:  1-8)	10
01/03/2020 04:20	8207	Approach  1 (det:  1-8)	14
01/03/2020 04:25	8207	Approach  1 (det:  1-8)	9
01/03/2020 04:30	8207	Approach  1 (det:  1-8)	13
01/03/2020 04:35	8207	Approach  1 (det:  1-8)	14
01/03/2020 04:40	8207	Approach  1 (det:  1-8)	11
01/03/2020 04:45	8207	Approach  1 (det:  1-8)	22
